,Worst Elbo,Best Elbo,Mean Elbo,Worst Var,Best Var,Mean Var
0,-207.640,-84.015,-118.725,-74.422,-0.496,-6.567
1,-170.043,-37.458,-59.780,-40.355,-0.283,-4.458
2,-213.639,-73.023,-123.847,-51.661,-0.441,-7.492
3,-215.059,-69.792,-115.676,-70.304,-0.212,-6.276
4,-192.300,-66.617,-106.726,-49.293,-0.349,-5.963
5,-202.405,-74.281,-116.486,-50.088,-0.295,-6.189
6,-207.998,-72.422,-109.067,-40.587,-0.461,-5.962
7,-188.934,-59.214,-93.266,-40.839,-0.261,-5.625
8,-262.308,-73.549,-124.135,-55.957,-0.164,-6.658
9,-187.619,-68.461,-99.849,-58.193,-0.358,-5.128
